id;hex_id;name;environment;cluster_name;domain;fqdn;pci_tier;vlan
OEJe85wNbLkC;A133A148655F32E5;pgsqXXXXXXXXner.local;prep;pgsqXXXXXXXX;prepXXXXXXXX;pgsqXXXXXXXXner.local;2;1XX9
SCAOt2cFcrUS;60A360B7663E71ED;qgs-XXXXXXXXr.tech;ittest;qgs_XXXXXXXX;moonXXXXXXXX;qgs-XXXXXXXXr.tech;3;1XX2
sUEDDe3MYv83;34E73A0D62580C8E;gpfsXXXXXXXXner.local;prod;gpfsXXXXXXXX;prodXXXXXXXX;gpfsXXXXXXXXner.local;2;1XX2
aOQvkMksYLMP;E5A6E5AE62DA6565;sntbXXXXXXXX;prod;NDXXXXXXXX;prodXXXXXXXX;sntbXXXXXXXX;3;6XX
0Gk6iEiHaTj4;1AE4C3AC644612D7;ftenXXXXXXXXner.local;prep;ftenXXXXXXXX;prepXXXXXXXX;ftenXXXXXXXXner.local;2;1XX0
RMA9uI2kafC4;24A524B864B810CA;up0bXXXXXXXXr.local;prod;NDXXXXXXXX;prodXXXXXXXX;up0bXXXXXXXXr.local;3;1XX8
BEJe85wNbXjC;A133A148655F32D8;pgsqXXXXXXXXner.local;prod;pgsqXXXXXXXX;prodXXXXXXXX;pgsqXXXXXXXXner.local;2;2XX1
gDAOt2cFcfZS;60A360B7663E723A;wp0bXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0bXXXXXXXXer.ch;2;6XX
ZVEDEe3MYfB3;34E73A0E62580CBA;pc87XXXXXXXX;dev;dynwXXXXXXXX;testXXXXXXXX;pc87XXXXXXXX;3;2XX8
QAYspejtYnI9;DA22DA3362DE252C;gw-iXXXXXXXXr.local;prod;gw_iXXXXXXXX;prodXXXXXXXX;gw-iXXXXXXXXr.local;1;1XX8
YGk6iEiHabl4;1AE4C3AC644612F9;ftenXXXXXXXXner.local;prep;ftenXXXXXXXX;prepXXXXXXXX;ftenXXXXXXXXner.local;2;1XX0
vKA9uI2kaTM4;24A524B864B81167;up0bXXXXXXXXr.local;prod;NDXXXXXXXX;prodXXXXXXXX;up0bXXXXXXXXr.local;2;1XX6
JEJe85wNb1kC;A133A148655F32E0;pgsqXXXXXXXXner.local;prep;pgsqXXXXXXXX;prepXXXXXXXX;pgsqXXXXXXXXner.local;2;2XX9
HDAOt2cFc5YS;60A360B7663E7221;wp0bXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0bXXXXXXXXer.ch;2;6XX
DVEDEe3MYHA3;34E73A0E62580CA4;wp0bXXXXXXXXr.ch;prod;symaXXXXXXXX;prodXXXXXXXX;wp0bXXXXXXXXr.ch;2;1XX9
8BYsqejtYbL9;DA22DA3462DE2559;gw-iXXXXXXXXr.local;prod;gw_iXXXXXXXX;prodXXXXXXXX;gw-iXXXXXXXXr.local;1;1XX8
SHk6iEiHa9p4;1AE4C3AC64461332;ftgwXXXXXXXXer.local;prep;ftgwXXXXXXXX;prepXXXXXXXX;ftgwXXXXXXXXer.local;3;3XX8
NMA9uI2kaLS4;24A524B864B811C5;up0xXXXXXXXX.ch;prod;NDXXXXXXXX;prodXXXXXXXX;up0xXXXXXXXX.ch;3;6XX
tFhyGBFObraV;F2B3F2D065607E4D;kofaXXXXXXXXner.tech;ittest;kofaXXXXXXXX;moonXXXXXXXX;kofaXXXXXXXXner.tech;3;1XX2
tDAOt2cFcTaS;60A360B7663E7247;wp0bXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0bXXXXXXXXer.ch;2;6XX
GSEDFe3MYPE3;34E73A0F62580CE6;authXXXXXXXXercard.local;prep;authXXXXXXXX;prepXXXXXXXX;authXXXXXXXXercard.local;1;2XX8
OBYsqejtYbM9;DA22DA3462DE2569;gw-iXXXXXXXXr.local;prod;gw_iXXXXXXXX;prodXXXXXXXX;gw-iXXXXXXXXr.local;1;1XX8
BIk6iEiHa5s4;1AE4C3AC64461361;ftmgXXXXXXXXner.local;prep;ftmgXXXXXXXX;prepXXXXXXXX;ftmgXXXXXXXXner.local;2;1XX0
YMA9uI2ka5D4;24A524B864B810D1;ut0bXXXXXXXXer.tech;test;NDXXXXXXXX;moonXXXXXXXX;ut0bXXXXXXXXer.tech;3;1XX2
qApvCTEPbPIU;E732E74C65647926;mss-XXXXXXXXr.tech;ittest;mss_XXXXXXXX;moonXXXXXXXX;mss-XXXXXXXXr.tech;3;1XX0
ZCAOt2cFcHVS;60A360B7663E71F4;wp0sXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0sXXXXXXXXer.ch;2;6XX
(SEDGe3MY9H3;34E73A1062580D12;srv1XXXXXXXX;prod;dc_bXXXXXXXX;holdXXXXXXXX;srv1XXXXXXXX;3;9XX
